m,d,a,psi,rho,mu,theta_H,level_sum,gdp,u_C,s_L
0.2,0.2,0.3,0.5,0.5,0.17,0.1,0,1.610760933948674,2.9104293824006384,59.412387836811135
0.2,0.2,0.3,0.5,0.5,0.17,0.25,1,1.65849035945278,2.8763572624848113,59.40966479347487
0.2,0.2,0.3,0.5,0.5,0.17,0.5,2,1.686340031098732,2.856482767909446,59.40807642946806
0.2,0.2,0.3,0.5,0.5,0.08,0.1,1,1.5633457078481294,2.9948823139594003,59.41509404032252
0.2,0.2,0.3,0.5,0.5,0.08,0.25,2,1.6434213743450998,2.941790114134433,59.41052438581418
0.2,0.2,0.3,0.5,0.5,0.08,0.5,3,1.6914153482213257,2.9097236443467867,59.40778700658351
0.2,0.2,0.3,0.5,0.5,0.04,0.1,2,1.533065183652882,3.064222390674985,59.41682285481152
0.2,0.2,0.3,0.5,0.5,0.04,0.25,3,1.6330757313875566,3.004979025868739,59.41111460395967
0.2,0.2,0.3,0.5,0.5,0.04,0.5,4,1.6976349354242748,2.9659928120357617,59.40743234791766
0.2,0.2,0.3,0.5,0.25,0.17,0.1,1,2.0030964336306356,2.950918323699841,59.0454957709308
0.2,0.2,0.3,0.5,0.25,0.17,0.25,2,2.0699349496974273,2.9024933869154115,59.04166315634638
0.2,0.2,0.3,0.5,0.25,0.17,0.5,3,2.1092950843612623,2.873937844590735,59.039407197107195
0.2,0.2,0.3,0.5,0.25,0.08,0.1,2,1.9524690332741512,3.0571892677163715,59.04840025035352
0.2,0.2,0.3,0.5,0.25,0.08,0.25,3,2.0549107465818395,2.9872761032011934,59.0425244778295
0.2,0.2,0.3,0.5,0.25,0.08,0.5,4,2.117587662363163,2.943934721043452,59.03893199608707
0.2,0.2,0.3,0.5,0.25,0.04,0.1,3,1.9155890370149864,3.15339806523537,59.050516823545316
0.2,0.2,0.3,0.5,0.25,0.04,0.25,4,2.040399189641895,3.0765124745848076,59.04335651305131
0.2,0.2,0.3,0.5,0.25,0.04,0.5,5,2.122359417402664,3.0244999994272233,59.03865856862615
0.2,0.2,0.3,0.5,0.0,0.17,0.1,2,2.3956171440546514,2.993447016752993,58.67792568222501
0.2,0.2,0.3,0.5,0.0,0.17,0.25,3,2.4818655591231753,2.9300830697745623,58.67295521621887
0.2,0.2,0.3,0.5,0.0,0.17,0.5,4,2.532824129292832,2.8925139410785263,58.670020176448375
0.2,0.2,0.3,0.5,0.0,0.08,0.1,3,2.3405835169732825,3.122975947276612,58.68109912667383
0.2,0.2,0.3,0.5,0.0,0.08,0.25,4,2.464677903199197,3.036052765247701,58.67394544867579
0.2,0.2,0.3,0.5,0.0,0.08,0.5,5,2.5418402693338393,2.9810307127437117,58.66950100773162
