panel,eq,variable,what,value
A,22,Δln R,research uplift = the GDP gap,0.00125964
A,42,Δg,growth gap of the ideas stock,2.10492e-05
A,43,Δln A,"ideas stock, carried into t+1",0
B,"18, 6",Δln r*,rental gap clearing the capital market,0.000776469
B,15,ℓ̃_N,shift in demand for all-other labor,0.00124632
B,14,s_L*,labor share at the targets,0.599261
B,16,Δln w*,common wage,2.8345e-05
B,5,Δln(Y/L)*,output per worker,0.00126049
B,17,Δln K*,capital at the targets,0.00232941
B,45,Δln TFP,measured TFP,0.000328114
B,13,ℓ*_N,"employment target, all other",0.362163
B,13,ℓ*_C,"employment target, AI-sensitive",0.599837
C,28,G_C,"overhang, AI-sensitive",0.000803395
C,28,G_N,"overhang, all other (zero on these paths)",0
C,28,B_C,"shortfall, AI-sensitive (negligible)",0
C,28,B_N,"shortfall, all other",0.00133187
C,27,q_C,"quit rate, AI-sensitive",0.00634509
C,27,q_N,"quit rate, all other",0.0140313
C,29,N_C,attached AI-sensitive force,0.600288
C,30,ln(w_C/w),"sticky AI-sensitive wage, relative",-8.44798e-05
C,39,ℓ^d_C,AI-sensitive labor demand at that wage,0.5993
C,31,D_C,"layoffs, AI-sensitive",0
C,31,D_N,"layoffs, all other (zero by construction)",0
C,32,v_C,"openings, AI-sensitive",0.0042793
C,32,v_N,"openings, all other",0.00818379
C,33,S_C,"effective search, AI-sensitive",0.0190551
C,33,S_N,"effective search, all other",0.0219849
C,34,H_C,"hires, AI-sensitive",0.00290758
C,34,H_N,"hires, all other",0.00509509
C,35,f_C,"finding rate, AI-sensitive origin",0.171128
C,35,f_N,"finding rate, all-other origin",0.243961
C,36,"ℓ_C,t+1","employment next month, AI-sensitive",0.599387
C,36,"ℓ_N,t+1","employment next month, all other",0.361732
C,37,"U_C,t+1","pool next month, AI-sensitive",0.0182376
C,37,"U_N,t+1","pool next month, all other",0.0206439
D,19,ℓ̃_C,AI-sensitive shift,-0.000751739
D,—,u^x,pool above its normal level,0
D,39,Δln Y,actual GDP,0.00125964
D,39,Δln w_N,actual all-other wage,0.00251928
D,39,Δln r,actual rental rate,0.000776225
D,39,Δln K,actual capital stock,0.00232867
D,39,s_L,actual labor share,0.599261
D,—,X,reallocation flow,0.00046055
D,—,G,aggregate overhang,0.000482268
